Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MAX_ERROR);Tolerancja_0.1;49;4408;1.7031193298200136e-05;0.004126886635007089;0.09987458952092965;0.07350927724596149
Fidelity (MAX_ERROR);Tolerancja_1.0;49;13;0.06380828399812957;0.25260301660536355;0.9984723840030512;4.49943669964125
Fidelity (MAX_ERROR);Tolerancja_0.01;50;4865;7.381691279933716e-07;0.0008591676949195492;0.009979690574223543;0.01519905662121201
Fidelity (MAX_ERROR);Tolerancja_0.1;50;3649;7.860545187237665e-06;0.0028036663830130833;0.09993250233091233;0.04959809866500478
Fidelity (MAX_ERROR);Tolerancja_1.0;50;12;0.024209891856581005;0.155595282243971;0.9723502098506578;2.7525493786646904
Fidelity (MAX_ERROR);Tolerancja_0.01;51;4882;8.347271361979337e-07;0.0009136340274956563;0.009943443494392135;0.015948219727665802
Fidelity (MAX_ERROR);Tolerancja_0.1;51;3814;8.830137529819342e-06;0.002971554732765214;0.09994346027988854;0.051870887450227096
Fidelity (MAX_ERROR);Tolerancja_1.0;51;7;0.13055672368563542;0.3613263395957115;0.8490175636768056;6.307243035880685
Fidelity (MAX_ERROR);Tolerancja_0.01;52;4734;3.7457965272483676e-07;0.000612029127350028;0.009979877977396079;0.010992867496431264
Fidelity (MAX_ERROR);Tolerancja_0.1;52;2342;4.947658952733296e-06;0.0022243333726609635;0.09998391189662659;0.03995202342644014
Fidelity (MAX_ERROR);Tolerancja_1.0;52;5;0.21511616950226936;0.4638061766538576;0.8950983309379001;8.33058365385004
Fidelity (MAX_ERROR);Tolerancja_0.01;53;4856;6.888124094172204e-07;0.0008299472329113582;0.009973410796328963;0.01461245329915631
Fidelity (MAX_ERROR);Tolerancja_0.1;53;3558;7.4297131723406285e-06;0.002725750020148698;0.09996954741664954;0.04799087616073927
Fidelity (MAX_ERROR);Tolerancja_1.0;53;10;0.10596447536268898;0.3255218508221667;0.9619846015600126;5.731295502134496
Fidelity (MAX_ERROR);Tolerancja_0.01;54;509;6.44249786639011e-08;0.00025382076090009085;0.009997060419638437;0.004406867265186769
Fidelity (MAX_ERROR);Tolerancja_0.1;54;17;0.00016297221495707964;0.012766057142167258;0.09712676312510471;0.2216458540499967
Fidelity (MAX_ERROR);Tolerancja_1.0;54;3;0.1661373444918746;0.4075994902988405;0.7773744519589032;7.076792476450769
Fidelity (MAX_ERROR);Tolerancja_0.01;55;4898;9.677754263602589e-07;0.0009837557757697074;0.00995820364535227;0.01780971507702198
Fidelity (MAX_ERROR);Tolerancja_0.1;55;3976;1.0106210592823444e-05;0.0031790266738143994;0.09997692524562307;0.057552454254806075
Fidelity (MAX_ERROR);Tolerancja_1.0;55;12;0.16318923852132405;0.40396687800031833;0.9272429453091409;7.313334442291472
Fidelity (MAX_ERROR);Tolerancja_0.01;56;4853;6.722069664850059e-07;0.0008198822881883753;0.00993702397963947;0.01603248169865691
Fidelity (MAX_ERROR);Tolerancja_0.1;56;3521;7.290809957461829e-06;0.002700149987956563;0.09999402381197608;0.052800390847809124
Fidelity (MAX_ERROR);Tolerancja_1.0;56;5;0.21541017938238197;0.46412302181898063;0.8963456142005795;9.075746555862303
Fidelity (MAX_ERROR);Tolerancja_0.01;57;4963;2.623613869358638e-06;0.0016197573489132987;0.009852377838029724;0.027585980256875586
Fidelity (MAX_ERROR);Tolerancja_0.1;57;4625;2.6713183944909634e-05;0.005168479848554083;0.09985543360764915;0.08802403838817469
Fidelity (MAX_ERROR);Tolerancja_1.0;57;1247;0.0005463462453832163;0.023374050684107285;0.9999289695689209;0.398081910927948
Fidelity (MAX_ERROR);Tolerancja_0.01;58;4944;1.7671871731881624e-06;0.0013293559241934277;0.00999219363327608;0.023258285941992692
Fidelity (MAX_ERROR);Tolerancja_0.1;58;4440;1.7999101559078294e-05;0.004242534803519977;0.09992300182015423;0.07422698901273778
Fidelity (MAX_ERROR);Tolerancja_1.0;58;18;0.01853941257475546;0.1361595115104173;0.9948771327814008;2.3822339787237756
Fidelity (MAX_ERROR);Tolerancja_0.01;59;4974;3.752774604669587e-06;0.0019372079404827937;0.009974125853304372;0.0344180994841925
Fidelity (MAX_ERROR);Tolerancja_0.1;59;4740;3.827401362102822e-05;0.006186599520013254;0.09974126020615648;0.10991643865325411
Fidelity (MAX_ERROR);Tolerancja_1.0;59;2394;0.0005005678605165284;0.02237337391893606;0.9997166283270391;0.39750456997768985
