Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Energetyczne;Prog_Energii_99.9%;24;421;0.033030992175071466;0.18174430438137934;1.0116629497157597;3.160848828731376
Energetyczne;Prog_Energii_99.99%;24;2537;0.003301991770817633;0.057462959990046046;0.2356768919157215;0.9993805880091399
Energetyczne;Prog_Energii_99.0%;25;40;0.3401883645786974;0.5832566884131698;2.1101555497769033;9.894153357297759
Energetyczne;Prog_Energii_99.9%;25;396;0.03467136353382017;0.1862024799346673;0.6711375390009628;3.1586708366688963
Energetyczne;Prog_Energii_99.99%;25;2412;0.0034731586837731493;0.058933510702936655;0.21725498542299437;0.9997265429826452
Energetyczne;Prog_Energii_99.0%;26;34;0.2713929426252529;0.5209538776372173;1.7532993635396963;9.800618847328483
Energetyczne;Prog_Energii_99.9%;26;377;0.02824767942896085;0.1680704597154445;0.6392524221571474;3.1618816672162744
Energetyczne;Prog_Energii_99.99%;26;2325;0.0028252755476507064;0.05315332113472033;0.2080682645203158;0.9999646096766615
Energetyczne;Prog_Energii_99.0%;27;13;0.42979441489064957;0.6555870765128379;1.9585641169791494;9.96632352563449
Energetyczne;Prog_Energii_99.9%;27;148;0.04285849234270051;0.2070229270943209;0.7752648496877423;3.147190575538201
Energetyczne;Prog_Energii_99.99%;27;1277;0.004322888627844135;0.0657486777649873;0.39830704799637395;0.9995203039602971
Energetyczne;Prog_Energii_99.0%;28;20;0.39310499548564365;0.6269808573518363;2.1816796143918338;9.786045982908
Energetyczne;Prog_Energii_99.9%;28;235;0.04096463086084716;0.20239721060540128;0.7233892970536191;3.159057228896066
Energetyczne;Prog_Energii_99.99%;28;1778;0.004100824409064915;0.06403767960400279;0.22519826409308052;0.999513254504094
Energetyczne;Prog_Energii_99.0%;29;28;0.3113992718229979;0.5580316046811309;1.7663499026496101;9.850682659655082
Energetyczne;Prog_Energii_99.9%;29;258;0.03196518983492879;0.1787881143558732;0.673494813888416;3.1560667228591863
Energetyczne;Prog_Energii_99.99%;29;1994;0.003205028383860137;0.05661297010279656;0.2581978202827404;0.9993634737262879
Energetyczne;Prog_Energii_99.0%;30;39;0.30803545395486176;0.555009417897446;2.1404535481682005;9.99330241044265
Energetyczne;Prog_Energii_99.9%;30;397;0.030837888024667484;0.17560719810038392;0.6442047449296879;3.1619208241830496
Energetyczne;Prog_Energii_99.99%;30;2364;0.003082990841487523;0.0555246867752311;0.2346873919681487;0.9997577848174809
Energetyczne;Prog_Energii_99.0%;31;22;0.2501938089750183;0.5001937714276521;1.8020707524469706;9.65122069875882
Energetyczne;Prog_Energii_99.9%;31;237;0.026832983626849317;0.16380776424470642;0.8056803447190464;3.1606648767008547
Energetyczne;Prog_Energii_99.99%;31;1752;0.002683320423196179;0.0518007762798607;0.3729168057724399;0.9994941016899043
Energetyczne;Prog_Energii_99.0%;32;62;0.267702253941181;0.5173995109595495;1.9520740179520994;9.901698550074071
Energetyczne;Prog_Energii_99.9%;32;582;0.02723797194549428;0.1650393042444565;0.6380874882143788;3.158428651221374
Energetyczne;Prog_Energii_99.99%;32;2734;0.002727062884321348;0.05222128765476152;0.20754816473812543;0.9993814012216541
Energetyczne;Prog_Energii_99.0%;33;29;0.34420382129351973;0.5866888624249822;3.1514459582002585;9.953714898323351
Energetyczne;Prog_Energii_99.9%;33;274;0.03460480773957951;0.18602367521253715;2.478993709508779;3.1560623458071118
Energetyczne;Prog_Energii_99.99%;33;1924;0.003473669162354126;0.05893784151420992;1.033502883278679;0.9999345628110072
Energetyczne;Prog_Energii_99.0%;34;35;0.29464126247084194;0.5428086794358045;1.907670434519956;9.889464008038997
Energetyczne;Prog_Energii_99.9%;34;331;0.030076623325149182;0.1734261321864418;1.0148547904511744;3.159661142658766
Energetyczne;Prog_Energii_99.99%;34;2131;0.0030122808475492994;0.054884249539820615;0.29877029768042274;0.9999394464297222
Energetyczne;Prog_Energii_99.0%;35;22;0.31494140542614407;0.5611964053931067;1.8968688252403774;9.683750209395594
Energetyczne;Prog_Energii_99.9%;35;229;0.03355586569697948;0.1831826020586548;0.7213276534785065;3.1609157578273352
Energetyczne;Prog_Energii_99.99%;35;1771;0.003357984527392621;0.05794811927399043;0.2735410373116971;0.9999264192729602
Energetyczne;Prog_Energii_99.0%;36;14;0.33114942365158806;0.5754558398796453;1.9341198408460878;9.008412042351068
Energetyczne;Prog_Energii_99.9%;36;165;0.04077812031861935;0.20193593122230463;0.9704870933993348;3.161184488086609
Energetyczne;Prog_Energii_99.99%;36;1356;0.004077813358738563;0.06385775879827417;0.4043806796537899;0.999654471273132
Energetyczne;Prog_Energii_99.0%;37;41;0.39680612270035037;0.6299254898004607;2.207120580187233;9.962066652596237
